# Region            : all region0
# Cells             : 16384
# Volume            : 3.947841760211e+00
# Time              	max(error_pres)
0.0075              	9.022437332820e-04
0.015               	9.022437332820e-04
0.0225              	9.022437332820e-04
0.03                	9.022437332820e-04
0.0375              	9.022437332820e-04
0.045               	9.022437332820e-04
0.0525              	9.022437332820e-04
0.06                	9.022437332820e-04
0.0675              	9.022437332820e-04
0.075               	9.022437332820e-04
0.0825              	9.022437332820e-04
0.09                	9.022437332820e-04
0.0975              	9.022437332820e-04
0.105               	9.022437332820e-04
0.1125              	9.022437332820e-04
0.12                	9.022437332820e-04
0.1275              	9.022437332820e-04
0.135               	9.022437332820e-04
0.1425              	9.022437332820e-04
0.15                	9.022437332820e-04
0.1575              	9.022437332820e-04
0.165               	9.022437332820e-04
0.1725              	9.022437332820e-04
0.18                	9.022437332820e-04
0.1875              	9.022437332820e-04
0.195               	9.022437332820e-04
0.2025              	9.022437332820e-04
0.21                	9.022437332820e-04
0.2175              	9.022437332820e-04
0.225               	9.022437332820e-04
0.2325              	9.022437332820e-04
0.24                	9.022437332820e-04
0.2475              	9.022437332820e-04
0.255               	9.022437332820e-04
0.2625              	9.022437332820e-04
0.27                	9.022437332820e-04
0.2775              	9.022437332820e-04
0.285               	9.022437332820e-04
0.2925              	9.022437332820e-04
0.3                 	9.022437332820e-04
